case_id,evidence_type,evidence_item,finding,effect_on_mechanism,evidence_grade,source_ref,notes
PT01,chronology,Atrahasis flood witness,Old Babylonian copy dated to Ammisaduqa year 12 (~1635 BCE),supports Mesopotamian priority,A,https://www.britishmuseum.org/collection/object/W_1889-0426-236,A dated written flood tradition predates the extant Genesis composition window by roughly a millennium.
PT01,literary_history,Mesopotamian flood tradition,Old Babylonian Sumerian and Akkadian flood traditions precede Standard Babylonian Gilgamesh XI,supports internal Mesopotamian continuity,A,https://academic.oup.com/book/8443,Do not date the tradition solely from the 7th-century K.3375 witness.
PT01,comparative_literature,Genesis 6-9 vs Mesopotamian flood traditions,OUP studies argue both pre-P and P Genesis flood layers were modeled on earlier Mesopotamian traditions; Day argues several features are closer to Atrahasis than Gilgamesh,supports literary dependence family,A,https://academic.oup.com/book/32142/chapter/268104460,The exact direct/indirect route and timing remain debated; motif overlap alone is not the basis for this evidence.
PT01,contact_opportunity,Judeans in Babylonia,Cuneiform records document Judean deportee communities in Neo-Babylonian and Achaemenid Babylonia,supports real contact opportunity,A,https://compass.onlinelibrary.wiley.com/doi/abs/10.1111/rec3.12207,"Presence in Babylonia establishes opportunity, not proof that a particular flood text was read by a Genesis author."
PT01,route_gap,specific textual intermediary,No named intermediary manuscript/scribe connecting Atrahasis/Gilgamesh to Genesis is frozen,limits direct-borrowing claim,NA,,Keep route as unresolved even though broader literary dependence is well supported in cited scholarship.
PT02,text_function,Yu/Chinese flood-control tradition,Critical scholarship argues early Yu material is fundamentally water-control/cosmogonic habitability rather than a Noah-style exterminatory survival story,supports functional contrast,A,https://www.sciencedirect.com/org/science/article/abs/pii/S2352133317000024,Consistent with low survival-package Jaccard in the frozen Chinese bundle.
PT02,geoarchaeology,Jishi outburst flood ~1920 BCE,Science 2016 proposed a massive Yellow River outburst flood as a possible basis for the Great Flood tradition,environmental-event hypothesis,A,https://pubmed.ncbi.nlm.nih.gov/27493183/,"This is a hypothesis about historical anchoring, not direct proof of textual origin."
PT02,geoarchaeology_counterevidence,Jishi / Great Flood identification,Later geological and historical work disputes direct identification and/or the textual-historical inference,weakens single-event origin claim,A,https://www.sciencedirect.com/science/article/abs/pii/S0277379118308230,"Environmental convergence remains plausible at the broad water-disaster level, but a unique event-to-myth mapping is not secure."
PT03,primary_text,Enki and Ninmah,ETCSL lines 24-37 explicitly combine clay kneading/form production with the purpose of carrying labor baskets,supports Sumerian clay+labor bundle,A,https://etcsl.orinst.ox.ac.uk/section1/tr112.htm,Direct textual evidence.
PT03,comparative_mesopotamia,Sumerian and Akkadian human creation,"ORACC explicitly notes Atrahasis creates humans from clay plus slain-god blood, while Enki and Ninmah creates humans from clay",supports shared Mesopotamian repertoire,A,https://oracc.museum.upenn.edu/amgg/listofdeities/mothergoddess/,Shared clay motif alone does not establish direct copying.
PT03,transmission_substrate,Old Babylonian scribal education,Old Babylonian schools taught Sumerian language/literature and maintained cultural heritage in an Akkadian-speaking environment,supports plausible scribal continuity/diffusion,A,https://oracc.museum.upenn.edu/obmc/OldBabylonianSchool/index.html,Provides a mechanism for cross-language literary continuity without identifying a direct source text.
PT03,dependence_gap,direct Enki-and-Ninmah → Atrahasis textual dependence,No source in the frozen evidence demonstrates direct copying between the two compositions,limits direct-dependence claim,NA,,"Current conclusion is shared repertoire + transmission substrate, not a one-text genealogy."
PT04,comparative_poetics,Indo-European serpent-slaying theme,"Watkins reconstructs comparative Indo-European poetic/dragon-slaying formulae across Vedic, Hittite, Greek and other traditions",supports ancestry hypothesis beyond raw motif count,A,https://academic.oup.com/book/47065,This explains why low-dimensional Jaccard is not sufficient to reject genealogical continuity.
PT04,bundle_diagnostic,Rigveda 1.32 vs selected Hesiodic bundle,Only one shared-positive motif in current 8-feature bundle; simple matching is inflated by six shared absences,limits current feature-level similarity,A,internal:data/similarity_support_audit_v0.1.1.csv,Retain as methodological negative control for metric interpretation.
