motif_id,family,label,inclusion_rule,exclusion_rule,version,status
"FLOOD_DSTR_INUNDATION","flood","Destructive inundation","Water inundation is itself a major destructive event affecting settlements/people/land.","Do not require near-total human destruction; do not code routine seasonal flooding.","0.1","calibration_frozen"
"FLOOD_EXTERMINATORY","flood","Exterminatory deluge","The inundation is intended or described as destroying most/all humanity or the inhabited world.","Do not code flood-control or local destructive flooding without broad human-destruction claim.","0.1","calibration_frozen"
"FLOOD_WARNING","flood","Advance supernatural warning","A supernatural/divine/extraordinary agent gives advance information enabling preparation for the flood.","Ordinary observation or post-event revelation does not count.","0.1","calibration_frozen"
"FLOOD_SELECTED_SURVIVOR","flood","Selected survivor group","One person/family/small selected group is specifically preserved while a much larger population is destroyed/threatened.","A flood-control official or generic survivors without selection do not count.","0.1","calibration_frozen"
"FLOOD_VESSEL","flood","Floating vessel refuge","Survival depends on a deliberately used boat/ark/chest/raft or comparable floating container.","Travel by ordinary boat unrelated to flood survival does not count.","0.1","calibration_frozen"
"FLOOD_HIGH_REFUGE","flood","Elevated refuge","Survival depends on mountain/tree/tower/other elevated refuge above floodwaters.","A vessel merely landing on a mountain afterward does not count.","0.1","calibration_frozen"
"FLOOD_POST_RITUAL","flood","Post-flood ritual or sacrifice","Survivor performs sacrifice/offering/ritual soon after survival or recession of waters.","Later unrelated cult practice does not count.","0.1","calibration_frozen"
"FLOOD_REPOPULATION","flood","Post-flood human renewal","Narrative explicitly addresses restoration/repopulation/recreation of humanity after flood.","Survival alone does not count.","0.1","calibration_frozen"
"DIV_SUCCESSION_YOUNGER_OLDER","divine_conflict","Younger divine generation displaces older","A younger divine generation or younger deity defeats/displaces an older ruling divine generation.","Generic god-vs-monster combat without succession stakes does not count.","0.1","calibration_frozen"
"DIV_FATHER_SON","divine_conflict","Father-son succession conflict","Divine kingship/supremacy conflict is explicitly structured as father versus son.","Other kinship or generational rivalry does not count.","0.1","calibration_frozen"
"DIV_STORM_SERPENT","divine_conflict","Storm deity versus serpent/dragon","A storm/thunder-associated deity battles a serpent/dragon/serpentine adversary.","Sea deity without serpent/dragon identity is separate.","0.1","calibration_frozen"
"DIV_STORM_SEA","divine_conflict","Storm deity versus sea/water deity","A storm/thunder-associated deity battles a personified sea/water deity or sovereign aquatic opponent.","Serpent/dragon opponent is separate unless text explicitly identifies both.","0.1","calibration_frozen"
"DIV_BODY_TO_COSMOS","divine_conflict","Defeated being becomes cosmos","Material from a defeated primordial/divine opponent becomes components of world/cosmos.","Death of enemy alone does not count.","0.1","calibration_frozen"
"DIV_COUNCIL","divine_conflict","Divine council deliberation","Multiple gods explicitly deliberate, judge, allocate roles, or make a collective decision.","A mere list/group of gods does not count.","0.1","calibration_frozen"
"DIV_KINGSHIP_TRANSFER","divine_conflict","Transfer of divine kingship","Narrative explicitly transfers legitimate divine kingship/sovereignty between deities/generations.","Victory without kingship transfer does not count.","0.1","calibration_frozen"
"DIV_PRIMORDIAL_REBELLION","divine_conflict","Primordial divine rebellion","Cosmic order includes rebellion by subordinate/younger divine beings against established divine authority.","Monster attack without a social/political rebellion frame does not count.","0.1","calibration_frozen"
"ANTH_EARTH_DUST","anthropogony","Human formed from earth/dust","Human body is made from generic earth, soil, dust or ground material.","Clay/mud may co-occur but is coded separately only when plastic/wet material is explicit.","0.1","calibration_frozen"
"ANTH_CLAY_MUD","anthropogony","Human formed from clay/mud","Human body is made from clay, mud, wet earth or equivalent plastic earth material.","Generic dust/earth without wet/plastic quality does not count.","0.1","calibration_frozen"
"ANTH_POTTER_FORMING","anthropogony","Potter-like forming","Human creation explicitly uses potter wheel, molding, shaping, kneading or craft-forming technology.","Material being clay alone is insufficient.","0.1","calibration_frozen"
"ANTH_DIVINE_BLOOD_FLESH","anthropogony","Divine/supernatural body material","Human creation incorporates blood, flesh, body or remains of a deity/supernatural being.","Cosmos formed from a body is DIV_BODY_TO_COSMOS unless humans specifically arise from it.","0.1","calibration_frozen"
"ANTH_BREATH_ANIMATION","anthropogony","Breath/wind animates human","Breath, wind, spirit-breath or equivalent infusion animates a formed human body.","Speech-only creation is not included unless breath/animation is explicit.","0.1","calibration_frozen"
"ANTH_CREATED_FOR_SERVICE","anthropogony","Humans created for divine service/labour","Text explicitly states humans are created to perform labour, cult, maintenance, or service for gods.","Later social duty or worship not given as creation purpose does not count.","0.1","calibration_frozen"
"ANTH_BODY_SACRIFICE","anthropogony","Humans/social order from primordial body sacrifice","Human groups or human social categories arise from division/sacrifice of a primordial being.","Cosmic body creation without human/social derivation does not count.","0.1","calibration_frozen"
"ANTH_FIRST_PAIR","anthropogony","Explicit first human pair","Humanity descends from or begins with an explicitly first male-female/couple pair.","A survivor couple after a flood is separate unless narrative makes them first humans.","0.1","calibration_frozen"
