tradition_id,label,working_start,working_end,macro_region,language_family,pilot_role,date_note
SUM_OB,Sumerian literary corpus (Ur III / Old Babylonian transmission),-2100,-1600,Mesopotamia,Sumerian,contact_core,"working textual window; individual witnesses separately dated"
AKK_OB,Old Babylonian Akkadian literary tradition,-1900,-1600,Mesopotamia,Afroasiatic_Semitic,contact_core,"Atrahasis and related OB material; individual witnesses separately dated"
AKK_MB_SB,Middle / Standard Babylonian Akkadian literary tradition,-1500,-600,Mesopotamia,Afroasiatic_Semitic,temporal_lineage_anchor,"broad pilot window for later Babylonian recensions; source-level dates mandatory"
HUR_HIT_LBA,Hurrian-Hittite mythic transmission corpus,-1500,-1200,Anatolia,Hurrian_plus_IndoEuropean_Anatolian,contact_phylo_anchor,"composite transmission case retained because several Hittite texts explicitly adapt Hurrian material; language of source and version coded separately"
UGARIT_LBA,Ugaritic Late Bronze Age mythic corpus,-1400,-1180,Levant,Afroasiatic_Semitic,contact_core,"KTU witness dates separately retained"
EGY_MK,Middle Kingdom Egyptian Coffin Text tradition,-2025,-1700,Nile_Valley,Afroasiatic_Egyptian,temporal_anchor,"Coffin Texts; individual spell/witness provenance required"
EGY_NK,New Kingdom Egyptian funerary/mythic tradition,-1550,-1070,Nile_Valley,Afroasiatic_Egyptian,temporal_anchor,"Book of the Dead and related sources; earlier inherited spells explicitly flagged"
VED_RV,Rigvedic Sanskrit tradition,-1500,-1000,South_Asia,IndoEuropean_IndoAryan,phylo_distal_anchor,"broad compositional interval; hymn-level relative chronology retained where defensible"
GRC_ARCH,Archaic Greek mythic tradition,-800,-500,Aegean,IndoEuropean_Hellenic,phylo_contact_anchor,"Hesiodic/Homeric sources separated; later Apollodorus is out-of-window comparator only"
HEB_GEN,Genesis primeval-history textual tradition,-700,-400,Levant,Afroasiatic_Semitic,contact_core,"working composition/redaction interval only; manuscript date, composition model and inherited oral material kept distinct"
CHN_WS_HAN,Late Warring States–Early Han Chinese mythic textual tradition,-475,100,East_Asia,SinoTibetan,distal_outgroup,"expanded from Zhou/Warring States because key Nüwa/cosmogonic witnesses are late Warring States–Han; later Eastern Han clay-human tradition remains out-of-window comparator"
