economy,queue_ew_year,leave_avg_delta,coverage_hint,legal_instrument_or_best_match,legal_timing,isolation_class,timing_match,scope,decision,reason,source_url
Estonia,2009,24.0,"3 pre / 4 post","Employment Contracts Act, passed 2008-12-17; in force 2009-07-01; §55 = 28 calendar days",2009-07-01,broad_employment_code,partial_match,national,reject_clean_holdout,"Real 2009 employment-law transition, but comprehensive code and WB 0→24 working-day jump is not a clean one-variable annual-leave shock","https://www.riigiteataja.ee/en/eli/529062018003/consolide"
Tajikistan,2015,-3.0,"4 pre / 5 post","Pre-2016 Labour Code / contemporaneous 2015 business-law guidance: minimum 24 calendar days",2015,no_verified_leave_change,no_match,national,reject_clean_holdout,"Contemporaneous sources still report 24 calendar days; WB 21→18 working-day jump is more consistent with unit/coding conversion than a verified statutory cut","https://www.rsm.global/tajikistan/sites/default/files/media/Guide%20To%20Doing%20Business%20in%20Tajikistan.pdf"
Bangladesh,2008,3.0,"2 pre / 5 post","Bangladesh Labour Act 2006, §117 annual leave formula",2006,broad_labour_code,no_match,national,reject_clean_holdout,"Annual-leave rule is in the broad 2006 Act and predates the 2008 WB jump; queue timing does not identify a 2008 leave reform","https://natlex.ilo.org/dyn/natlex2/natlex2/files/download/76402/BGD76402%20Eng.pdf"
Uganda,2008,3.0,"2 pre / 5 post","Employment Act 2006, §54 annual leave = 7 days per 4 months service",2006,broad_employment_code,no_match,national,reject_clean_holdout,"Broad 2006 Employment Act predates the 2008 WB jump; no clean 2008 annual-leave intervention","https://natlex.ilo.org/dyn/natlex2/natlex2/files/download/74416/UGA74416.pdf"
Saudi Arabia,2010,2.6667,"3 pre / 5 post","Saudi Labour Law annual-leave entitlement, including tenure-specific increase",uncertain,broad_labour_code,unverified,national,reject_clean_holdout,"WB change is concentrated in the 5-year tenure profile; no stand-alone 2010 leave-only amendment was verified in the bounded search","https://www.hrsd.gov.sa/en/knowledge-centre/articles/64408"
Bosnia and Herzegovina,2017,2.0,"4 pre / 5 post","Federation Labour Law / related entity-level labour legislation; minimum annual leave around 20 working days",2016-2017,broad_or_entity_law,ambiguous,entity_or_scope_limited,reject_clean_holdout,"Legal setting is entity-specific and broad; candidate cannot support a clean population-wide national annual-leave shock","https://natlex.ilo.org/"
Slovenia,2015,1.0,"4 pre / 5 post","Employment Relationships Act ZDR-1, in force 2013-04-12; §159 minimum four weeks",2013,broad_employment_code,no_match,national,reject_clean_holdout,"Both prior and ZDR-1 regimes specify at least four weeks; no national 2015 entitlement step matching the WB +1 was verified","https://pisrs.si/Pis.web/pregledPredpisa?sop=2013-01-0784"
Iraq,2017,1.0,"4 pre / 4 post","Labour Law No. 37 of 2015; annual leave in Arts. 75–78",2015,broad_labour_code,no_match,national,reject_clean_holdout,"Comprehensive 2015 Labour Law predates the 2017 WB jump and changes many labour domains; not a stand-alone 2017 leave reform","https://natlex.ilo.org/dyn/natlex2/natlex2/files/download/96652/IRQ96652%20Eng.pdf"
Montenegro,2010,1.0,"2 pre / 5 post","Labour Law amendment reported in Official Gazette 59/2011; §65(1) at least 20 working days",2011,broad_labour_law,no_match,national,reject_clean_holdout,"ILO records the relevant national minimum-leave amendment in 2011, not the queue's 2010 18→19 jump","https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:13101:0::NO::P13101_COMMENT_ID:3134153"
Ecuador,2013,-0.3333,"4 pre / 5 post","Labour Code Art. 69: 15 consecutive days plus seniority additions; long-standing structure",longstanding,no_verified_leave_change,no_match,national,reject_clean_holdout,"2013 sources still show the established 15-day rule; the tiny WB profile change has no verified national statutory leave cut","https://www.cortenacional.gob.ec/cnj/images/pdf/sentencias/laboral/2013/R21-2013-J423-2011.pdf"
Montenegro,2015,-0.3333,"4 pre / 5 post","Consolidated Labour Law text published by Government in 2015; national minimum remains governed by Labour Law",2015_consolidation,broad_labour_law,unverified,national,reject_clean_holdout,"No leave-only 2015 national cut matching the −0.33 WB average was verified; magnitude/profile pattern is consistent with coding/composition change","https://www.gov.me/en/documents/505ff512-502c-4960-a96d-091de0ad0a03"
