motif_id,family,label,axis,analysis_role,inclusion_rule,exclusion_rule,origin,mutually_exclusive_with,status
FLOOD_DSTR_INUNDATION,flood,Destructive inundation,event_severity,primary_confirmatory,Water inundation is itself a major destructive event affecting settlements/people/land.,Do not require near-total human destruction; do not code routine seasonal flooding.,v0.1.1_anchor,,draft_frozen_for_bundle_design
FLOOD_EXTERMINATORY,flood,Exterminatory deluge,event_severity,primary_confirmatory,The inundation is intended or described as destroying most/all humanity or the inhabited world.,Do not code flood-control or local destructive flooding without broad human-destruction claim.,v0.1.1_anchor,,draft_frozen_for_bundle_design
FLOOD_WARNING,flood,Advance supernatural warning,advance_information,primary_confirmatory,A supernatural/divine/extraordinary agent gives advance information enabling preparation for the flood.,Ordinary observation or post-event revelation does not count.,v0.1.1_anchor,,draft_frozen_for_bundle_design
FLOOD_SELECTED_SURVIVOR,flood,Selected survivor group,survivor_selection,primary_confirmatory,One person/family/small selected group is specifically preserved while a much larger population is destroyed/threatened.,A flood-control official or generic survivors without selection do not count.,v0.1.1_anchor,,draft_frozen_for_bundle_design
FLOOD_VESSEL,flood,Floating vessel refuge,survival_mechanism,primary_confirmatory,Survival depends on a deliberately used boat/ark/chest/raft or comparable floating container.,Travel by ordinary boat unrelated to flood survival does not count.,v0.1.1_anchor,FLOOD_HIGH_REFUGE,draft_frozen_for_bundle_design
FLOOD_HIGH_REFUGE,flood,Elevated refuge,survival_mechanism,primary_confirmatory,Survival depends on mountain/tree/tower/other elevated refuge above floodwaters.,A vessel merely landing on a mountain afterward does not count.,v0.1.1_anchor,FLOOD_VESSEL,draft_frozen_for_bundle_design
FLOOD_POST_RITUAL,flood,Post-flood ritual or sacrifice,post_event_response,primary_confirmatory,Survivor performs sacrifice/offering/ritual soon after survival or recession of waters.,Later unrelated cult practice does not count.,v0.1.1_anchor,,draft_frozen_for_bundle_design
FLOOD_REPOPULATION,flood,Post-flood human renewal,post_event_human_renewal,primary_confirmatory,Narrative explicitly addresses restoration/repopulation/recreation of humanity after flood.,Survival alone does not count.,v0.1.1_anchor,,draft_frozen_for_bundle_design
FLOOD_SCOUT_TEST,flood,Scout tests recession/land,post_event_information,primary_confirmatory,"After the flood/inundation peak, a person or nonhuman agent is deliberately sent/released to test whether land, habitability, or receded water can be established.","Animals appearing incidentally, omen-reading unrelated to recession, or ordinary reconnaissance outside flood survival do not count.",v0.2_refined_from_FLOOD_06,,draft_frozen_for_bundle_design
ANTH_EARTH_DUST,anthropogony,Human formed from earth/dust,material_terrestrial,primary_confirmatory,"Human body is made from generic loose earth, soil, dust or ground material, with no explicit plastic/wet quality.","Explicit clay, mud, wet/plastic earth, or an explicitly plastic operation such as kneading is coded under ANTH_CLAY_MUD instead; sibling motifs are mutually exclusive.",v0.1.1_anchor,ANTH_CLAY_MUD,draft_frozen_for_bundle_design
ANTH_CLAY_MUD,anthropogony,Human formed from clay/mud,material_terrestrial,primary_confirmatory,"Human body is made from clay, mud, wet/plastic earth, or earth explicitly manipulated as plastic material (for example kneaded).",Generic loose earth/dust without wet/plastic quality does not count; sibling ANTH_EARTH_DUST is mutually exclusive.,v0.1.1_anchor,ANTH_EARTH_DUST,draft_frozen_for_bundle_design
ANTH_POTTER_FORMING,anthropogony,Potter-like forming,forming_technique,primary_confirmatory,"Human creation explicitly uses a craft-forming operation such as kneading, molding, shaping by hand, or a potter wheel.","A generic verb meaning create/form alone, or the mere presence/mixing of clay, is insufficient without an explicit craft-forming operation.",v0.1.1_anchor,,draft_frozen_for_bundle_design
ANTH_DIVINE_BLOOD_FLESH,anthropogony,Divine/supernatural body material,material_supernatural,primary_confirmatory,"The material of human formation explicitly incorporates blood, flesh, body matter or remains of a deity/supernatural being.","If human groups or social categories arise from division of a primordial being, code ANTH_BODY_SACRIFICE instead; the sibling motifs do not co-fire on one passage.",v0.1.1_anchor,ANTH_BODY_SACRIFICE,draft_frozen_for_bundle_design
ANTH_BREATH_ANIMATION,anthropogony,Breath/wind animates human,animation_mechanism,primary_confirmatory,"Breath, wind, spirit-breath or an equivalent animating principle is explicitly infused into an already formed human body.",Speech-only creation and a divine spirit/body component merely mixed into creation material are insufficient.,v0.1.1_anchor,,draft_frozen_for_bundle_design
ANTH_CREATED_FOR_SERVICE,anthropogony,Humans created for divine service/labour,creation_purpose,primary_confirmatory,"Text explicitly states humans are created to perform labour, cult, maintenance, or service for gods.",Later social duty or worship not given as creation purpose does not count.,v0.1.1_anchor,,draft_frozen_for_bundle_design
ANTH_BODY_SACRIFICE,anthropogony,Humans/social order from primordial body sacrifice,social_origin_mechanism,primary_confirmatory,Human groups or human social categories arise explicitly from the division/sacrifice of a primordial being.,"Divine body material merely incorporated into human formation is ANTH_DIVINE_BLOOD_FLESH, not this motif; the sibling motifs do not co-fire.",v0.1.1_anchor,ANTH_DIVINE_BLOOD_FLESH,draft_frozen_for_bundle_design
ANTH_FIRST_PAIR,anthropogony,Explicit first human pair,population_origin_structure,primary_confirmatory,Humanity descends from or begins with an explicitly first male-female/couple pair.,A survivor couple after a flood is separate unless narrative makes them first humans.,v0.1.1_anchor,,draft_frozen_for_bundle_design
ANTH_PLANT_WOOD,anthropogony,Humans formed from plant/wood material,material_terrestrial,primary_confirmatory,"Human bodies are explicitly made from wood, reeds, plants, gourds, maize/plant matter, or another plant-derived substance.","Plant food consumed by already created humans, metaphorical plant ancestry, or wooden images not becoming humans do not count.",v0.2_refined_from_ANTH_04,,draft_frozen_for_bundle_design
ANTH_FAILED_PRIOR_CREATION,anthropogony,Failed human creation precedes successful humans,iteration_structure,primary_confirmatory,"The narrative explicitly describes one or more attempted human creations that fail, are destroyed, or are rejected before a successful human form/population.","Different human groups created for different purposes, or a flood destroying existing humans without a creation-attempt frame, do not count.",v0.2_refined_from_ANTH_05,,draft_frozen_for_bundle_design
ANTH_SPEECH_NAMING_CREATION,anthropogony,Speech/naming directly creates humans,animation_mechanism,primary_confirmatory,"Spoken command, naming, or performative speech directly brings a human being/population into existence or life.",Breath/wind infusion is ANTH_BREATH_ANIMATION; speech that merely instructs another creator does not count.,v0.2_split_from_ANTH_03,ANTH_BREATH_ANIMATION,draft_frozen_for_bundle_design
ANTH_MULTI_MATERIAL_META,anthropogony,Multiple ontologically distinct creation materials,derived_composition,derived_diagnostic,Derived flag: two or more independently coded material motifs co-occur in the same creation event.,Never hand-code as an independent motif and never include alongside its component motifs in primary similarity.,v0.2_reclass_from_ANTH_07,,draft_frozen_for_bundle_design
COS_PRIMORDIAL_WATERS,cosmogony,Primordial waters,initial_state,secondary_generalization,"Cosmic/terrestrial order begins with, emerges from, or is initially dominated by primordial waters.",Ordinary seas created after cosmic order or later floodwaters do not count.,v0.2_refined_COS_01,,draft_frozen_for_bundle_design
COS_HEAVEN_EARTH_SEPARATION,cosmogony,Heaven-earth separation,cosmic_operation,secondary_generalization,Creation/cosmic ordering explicitly requires separating previously joined or contiguous sky/heaven and earth.,Merely listing heaven and earth as distinct realms does not count.,v0.2_refined_COS_02,,draft_frozen_for_bundle_design
