case_id,dependence_cluster,family,primary_bundle_id,canonical_source_lock,coverage_status,expected_observation_scope,negative_closure_candidate,translation_sensitivity_required,primary_analysis_eligible,notes
SUM_OB,SUMERIAN_OB,flood,B_FLOOD_SUM_OB,ETCSL Oxford,partial_fragmentary,in-window,false,case_specific,true,Positive evidence usable. Fragmentary preservation means this bundle cannot establish absence for all flood motifs.
SUM_OB,SUMERIAN_OB,anthropogony,B_ANTH_SUM_OB,ETCSL Oxford,closed_focal_passage,in-window,true,case_specific,true,Replaces the defective Pilot Sumerian Flood Story anthropogony witness.
SUM_OB,SUMERIAN_OB,divine_conflict,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
AKK_OB,AKKADIAN_CONTINUUM,flood,B_FLOOD_AKK_OB,"Lambert & Millard; Civil, Atra-hasis",closed_focal_narrative,in-window,true,true,true,Absence means absent from the frozen Tablet III flood bundle only.
AKK_OB,AKKADIAN_CONTINUUM,anthropogony,B_ANTH_AKK_OB,Lambert & Millard; Civil,closed_focal_narrative,in-window,true,true,true,Clay/body-material/labour distinctions use v0.2 rules.
AKK_OB,AKKADIAN_CONTINUUM,divine_conflict,B_DIV_AKK_OB,Lambert & Millard; Civil,closed_selected_rebellion_sequence,in-window,true,case_specific,true,"Included for rebellion/council structure, not storm-opponent motifs."
AKK_MB_SB,AKKADIAN_CONTINUUM,flood,B_FLOOD_AKK_SB,Andrew George 2003 critical edition,closed_focal_narrative,in-window,true,true,true,Standard Babylonian layer kept separate from Old Babylonian Atrahasis.
AKK_MB_SB,AKKADIAN_CONTINUUM,anthropogony,B_ANTH_AKK_SB,"W. G. Lambert 2013, Babylonian Creation Myths",closed_focal_narrative,in-window,true,true,true,Kept separate from Atrahasis despite shared Mesopotamian repertoire.
AKK_MB_SB,AKKADIAN_CONTINUUM,divine_conflict,B_DIV_AKK_SB,W. G. Lambert 2013,closed_selected_multitablet_bundle,in-window,true,case_specific,true,Cross-family body-to-cosmos links are recorded but not duplicated as independent derived counts.
HUR_LBA,KUMARBI_TRANSMISSION_CLUSTER,flood,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
HUR_LBA,KUMARBI_TRANSMISSION_CLUSTER,anthropogony,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
HUR_LBA,KUMARBI_TRANSMISSION_CLUSTER,divine_conflict,B_DIV_HUR_LBA,Güterbock/Hoffner; hethiter.net source apparatus,partial_transmitted_source_layer,inherited_or_transmitted,false,case_specific,true,"Hurrian source layer and Hittite witness are analytically linked, not IID."
HIT_LBA,KUMARBI_TRANSMISSION_CLUSTER,flood,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
HIT_LBA,KUMARBI_TRANSMISSION_CLUSTER,anthropogony,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
HIT_LBA,KUMARBI_TRANSMISSION_CLUSTER,divine_conflict,B_DIV_HIT_LBA,Hittite text tradition / scholarly editions,closed_two_version_bundle,in-window,true,case_specific,true,Native Hittite conflict bundle; separate from Hurrian Kumarbi/Ullikummi source layer.
UGARIT_LBA,UGARITIC_LBA,flood,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
UGARIT_LBA,UGARITIC_LBA,anthropogony,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
UGARIT_LBA,UGARITIC_LBA,divine_conflict,B_DIV_UGARIT_LBA,Mark S. Smith 1994 critical text/translation/commentary,closed_focal_tablet_column,in-window,true,true,true,Pilot exposure-contaminated kingship cell does not carry forward; v0.2 is a clean recode.
EGY_MK,EGYPTIAN_CONTINUUM,flood,,,no_defensible_primary_bundle,not_observed_by_design,false,false,false,"No source bundle satisfying the frozen v0.2 primary-family observation design is declared; this is missing coverage, never motif absence."
