person_id,canonical_name,birth_year,death_year,first_status,first_ids,first_reviewer,first_notes,second_status,second_ids,second_notes,ids_only_first,ids_only_second,disagreement_type,wikidata_qid,orcid,candidate_ids_in_packet,retrieved_extra_author_ids,adjudicated_status,adjudicated_ids,adjudicator,additional_retrieval_needed,adjudication_rationale
cv_Q24287044,Hilario Hernández Gurruchaga,1936,2010,VERIFIED_CLUSTER,A5031000107;A5077518778,ARIS4C evidence review,Verified pre-exposure: Universidad de Chile records exact 1983/1984 Gran Concepcion geography papers; SciELO/Universidad del Bio-Bio confirms El mañana es la Edad de la Madera by Hilario Hernandez-Gurruchaga and identifies him as former UBB rector. Both OpenAlex IDs map to this scholar; >=5 usable works.,VERIFIED_SINGLE,A5077518778,"Evidence: Wikidata shows Hilario Hernández Gurruchaga (1936‑2010) Chilean urban scholar; OpenAlex A5077518778 lists urban‑studies works (1982‑2019) matching his field. A5031000107 (plant sciences) unrelated. No conflicts. Sources: Wikidata, OpenAlex.",A5031000107,,state,Q24287044,,A5031000107;A5077518778,,,,,,
cv_Q1354374,Erika Greber,1952,2011,VERIFIED_CLUSTER,A5067191806;A5093308260;A5127108224,ARIS4C evidence review,"Verified pre-exposure identity cluster: LMU obituary documents Erika Greber's comparative-literature, Russian/Pasternak, intermediality and sonnet research; Wallstein/LMU bibliography confirms Intermedium Literatur (2004). Main OpenAlex A5067191806 and small Pasternak/sonnet fragments A5127108224 and A5093308260 are concordant. 2012/2026 posthumous fragments excluded. Network held false pending deduplication and posthumous filtering. Work-level pilot review retained 28 KEEP work(s); regenerated ",VERIFIED_SINGLE,A5067191806,"Evidence: VIAF 266971883, ISNI 0000000109009595. OpenAlex A5067191806 has 39 works on German literature (1994‑2011) matching professor career; other IDs are single‑work fragments. No conflict. Sources: VIAF, OpenAlex.",A5093308260;A5127108224,,state,Q1354374,,A5067191806;A5092949106;A5093308260;A5122246691;A5122480316;A5127108224,,,,,,
cv_Q6213800,Joel Olson,1967,2012,VERIFIED_CLUSTER,A5014404041;A5014962549;A5136923364,ARIS4C evidence review,"Verified pre-exposure identity cluster: NAU obituary and University of Minnesota Press identify Joel Olson (1967-2012), The Abolition of White Democracy, political theory/race scholarship; SAGE and Cambridge confirm Whiteness and the Polarization of American Politics and The Freshness of Fanaticism. Three OpenAlex IDs contain these works/book chapters. Other Mars/helicopter and post-2012 namesake records excluded. Network held false pending chapter deduplication and work-level contamination filt",VERIFIED_SINGLE,A5014404041,"Evidence: VIAF 4321475, ORCID 0000-0002-3423-8514. OpenAlex A5014404041 publishes race and political theory works (2005‑2016) aligning with activist; other IDs are nanoscience or space researchers, incompatible. Sources: VIAF, ORCID, OpenAlex.",A5014962549;A5136923364,,state,Q6213800,,A5014404041;A5014962549;A5071434243;A5071840649;A5112291370;A5113335342;A5135305019;A5143896483,A5136923364,,,,,
cv_Q7659879,Sydney Copeman,1862,1947,AMBIGUOUS_COLLISION,,ARIS4C pre-exposure triage,pre-exposure pilot30 triage; review_class=name_collision_or_low_similarity,VERIFIED_CLUSTER,A5098192254;A5099768349;A5104522501,"Evidence: Wikidata shows British physician (1862‑1947) known for smallpox vaccine. OpenAlex works 1894‑1908 on variola/vaccinia match timeline and field. Multiple IDs (A5099768349, A5098192254, A5104522501) share name and dates, indicating fragmented record. No ORCID conflict. Sources: Wikidata Q7659879; OpenAlex author pages.",,A5098192254;A5099768349;A5104522501,state,Q7659879,,A5037123170;A5098192254;A5099768349;A5104522501,,,,,,
cv_Q72927,Ottomar Rosenbach,1851,1907,VERIFIED_CLUSTER,A5071187168;A5076990306,ARIS4C evidence review,"Verified pre-exposure: Deutsche Biographie identifies internist Ottomar Rosenbach (1851-1907) and 1878 habilitation Ueber artificielle Herzklappenfehler; OpenAlex main ID contains that exact work and extensive contemporary medicine output, with a second small contemporary medical fragment. 2026/posthumous record excluded.",VERIFIED_CLUSTER,A5070702468;A5076990306;A5099157538,"Evidence: Wikidata shows physician 1851-1907; works 1870s-1880s. OpenAlex IDs A5076990306, A5070702468, A5099157538 have matching medical works and dates. Conflicts: other IDs are modern or unrelated. Sources: Wikidata, OpenAlex author pages.",A5071187168,A5070702468;A5099157538,id_set_only,Q72927,,A5070702468;A5071187168;A5076990306;A5099157538;A5147413769;A5148382090,,,,,,
cv_Q20031320,Fred Casey,1876,1956,EXCLUDED_IDENTITY_ERROR,,ARIS4C evidence review,"External labour-history sources identify Frederic Albert Casey (1876-1956), British socialist educationalist with works such as Beginning with the Beginner and Thinking. OpenAlex leads are Maine alien-registration records and a later namesake; they do not represent the intended person.",NO_GRAPH_RECORD,,"Evidence: Fred Casey socialist educator (1876-1956) with no 19th‑20th‑century publications. OpenAlex candidates are modern scholars or unrelated US registrants. No matching works or affiliations. Conflicts: none matching era. Sources: Wikidata, OpenAlex search.",,,state,Q20031320,,A5031891775;A5042424477;A5043650200;A5097824433;A5110275072;A5148949138;A5149020183,,,,,,
cv_Q124897,Anton Moortgat,1897,1977,VERIFIED_CLUSTER,A5004074646;A5013225685;A5018704554;A5104397241;A5104414231,ARIS4C evidence review,"Verified pre-exposure identity cluster: Deutsche Biographie identifies Near Eastern archaeologist Anton Moortgat and works including Tell Halaf, Vorderasiatische archaeology and Tell Chuera reports; included OpenAlex IDs contain matching Mesopotamian archaeology/1949 book sections. Mixed A5002464423 contains one true Tell Chuera item plus a 2003 namesake work and is excluded for now. Network held false pending chapter/work deduplication. Work-level pilot review retained 13 KEEP work(s); regenera",VERIFIED_CLUSTER,A5002464423;A5004074646;A5013225685;A5018704554;A5104397241;A5104414231,"Evidence: Archaeologist 1897-1977; multiple OpenAlex IDs list Near Eastern archaeology works 1940s‑1980s. All IDs share name, era, topics, coauthor Ursula Moortgat-Correns. Conflicts: none; other IDs are unrelated fields. Sources: Wikidata, OpenAlex author records.",,A5002464423,id_set_only,Q124897,,A5002464423;A5004074646;A5013225685;A5018704554;A5104397241;A5104414231,,,,,,
cv_Q15994329,Cecil Joslin Brooks,1875,1953,AMBIGUOUS_COLLISION,,ARIS4C automated pre-exposure triage,MH-blind identity100 initialization; review_class=name_collision_or_low_similarity; plausible_openalex_ids=,VERIFIED_SINGLE,A5081875897,"Evidence: Wikidata shows botanist (1875-1953). OpenAlex A5081875897 (C J Brooks) has 1911 botanical/geographic work, timeframe fits, name variant plausible. No other candidates. Conflicts: none.",,A5081875897,state,Q15994329,,A5081875897,,,,,,
cv_Q1577507,Hans-Joachim Weimann,1932,2012,AMBIGUOUS_COLLISION,,ARIS4C pre-exposure evidence review,MH-blind first review: sole 2000 Bildschirmarbeitsverordnung record lacks a sufficiently strong bibliographic/institutional anchor to the forestry historian/computer-science authority identity.,EXCLUDED_IDENTITY_ERROR,,"Evidence: historian Weimann (1932‑2012) specialized in forestry/history. OpenAlex: only candidate A5064752221 authored a 2000 law/IT paper, unrelated field and era. Conflicts: mismatched discipline and timeline. Sources: Wikidata Q1577507, OpenAlex A5064752221.",,,state,Q1577507,,A5064752221,,,,,,
cv_Q6947701,Itzhak Ilan,1956,2020,AMBIGUOUS_COLLISION,,ARIS4C automated pre-exposure triage,MH-blind identity100 initialization; review_class=name_collision_or_low_similarity; plausible_openalex_ids=,EXCLUDED_IDENTITY_ERROR,,"Evidence: Wikidata shows Israeli security official (military/spy). OpenAlex A5018849743 is orthopedic researcher (Ilan Ben-Itzhak). Conflicts: occupation, field, works unrelated. Sources: Wikidata Q6947701; OpenAlex A5018849743.",,,state,Q6947701,,A5018849743,,,,,,
