motif_id,family,label,operational_seed,external_crosswalk,status
FLOOD_01,flood,Catastrophic inundation,"A flood/inundation destroys or threatens most humans or the inhabited world",,provisional
FLOOD_02,flood,Supernatural warning,"A deity/spirit/animal/extraordinary agent warns a future survivor before the deluge",Berezkin C9,provisional
FLOOD_03,flood,Selected survivor,"One person/family/small selected group survives while most humans perish",,provisional
FLOOD_04,flood,Vessel refuge,"Survivors use a boat/ark/chest/gourd or comparable floating container",,provisional
FLOOD_05,flood,High-place refuge,"Survivors escape to a mountain/tree/other elevated refuge",Berezkin c4a partly,provisional
FLOOD_06,flood,Scout after flood,"Bird/animal/person is sent to test whether land has emerged or waters receded",Berezkin C5a,provisional
FLOOD_07,flood,Post-survival ritual,"Survival is followed by sacrifice/ritual/offering directed to supernatural beings",,provisional
FLOOD_08,flood,Human repopulation,"Narrative explicitly explains repopulation or renewed humanity after the flood",,provisional
ANTH_01,anthropogony,Earth or clay humans,"Human bodies are formed from earth/clay/mud/dust or equivalent terrestrial material",,provisional
ANTH_02,anthropogony,Divine flesh or blood,"Human creation incorporates flesh/blood/body material of a deity or supernatural being",,provisional
ANTH_03,anthropogony,Breath speech animation,"Breath/wind/spoken word/name animates or creates humans",,provisional
ANTH_04,anthropogony,Plant or wood humans,"Humans are made from wood/reeds/plants or plant-derived material",Berezkin E37 partly,provisional
ANTH_05,anthropogony,Failed prior creations,"One or more unsuccessful human creations precede the successful form",Berezkin E2 partly,provisional
ANTH_06,anthropogony,Humans created for service,"Humans are created explicitly to perform labor/service/ritual support for gods",,provisional
ANTH_07,anthropogony,Mixed creation materials,"Human creation combines two or more ontologically distinct materials",,provisional
ANTH_08,anthropogony,Primordial progenitor pair,"Human population descends from an explicit first pair/couple",,provisional
COS_01,cosmogony,Primordial waters,"Cosmos/earth emerges from or begins with primordial waters",,provisional
COS_02,cosmogony,Heaven earth separation,"Creation requires separation of previously joined heaven/sky and earth",,provisional
COS_03,cosmogony,Cosmic egg,"World or major cosmic beings emerge from an egg-like primordial container",,provisional
COS_04,cosmogony,World from body,"Parts of a primordial being/body become components of the cosmos",,provisional
COS_05,cosmogony,Cosmic axis,"World tree/mountain/pillar/axis connects cosmic levels",,provisional
COS_06,cosmogony,Order from chaos,"Creation is framed as ordering/forming a prior undifferentiated or chaotic state",,provisional
COS_07,cosmogony,Creation by speech,"Speech/naming/decree is a direct creative mechanism",,provisional
COS_08,cosmogony,Layered cosmos,"Narrative explicitly distinguishes sky/earth/underworld or multiple cosmic levels",,provisional
DIV_01,divine_conflict,Younger gods overthrow older,"A younger divine generation defeats/displaces an older generation",,provisional
DIV_02,divine_conflict,Father son succession conflict,"Divine succession is structured around father-son rivalry/displacement",,provisional
DIV_03,divine_conflict,Storm god versus sea/serpent,"Storm/war deity battles sea/serpent/dragon/chaos-associated adversary",,provisional
