bundle_id,case_id,family,role,source_work,source_locator,source_url,canonical_authority,witness_scope,coverage_status,negative_closed,access_status,alternate_strategy,notes
B_FLOOD_SUM_OB,SUM_OB,flood,primary,Sumerian Flood Story,"ETCSL 1.7.4, surviving flood narrative Segments C-D (frozen locator family)",https://etcsl.orinst.ox.ac.uk/section1/tr174.htm,ETCSL Oxford,in-window,partial_fragmentary,false,open_scholarly_corpus,No tradition-level negative closure; leave negatives not_observed where lacuna/scope prevents assessment.,Positive evidence usable. Fragmentary preservation means this bundle cannot establish absence for all flood motifs.
B_FLOOD_AKK_OB,AKK_OB,flood,primary,Atrahasis,"Old Babylonian Atrahasis, Tablet III flood sequence; edition-level locator frozen, exact translation supplied under source-packet contract",https://books.google.co.uk/books/about/Atra_%E1%B8%ABas%C4%ABs.html?id=RMdcN2h2QbEC,"Lambert & Millard; Civil, Atra-hasis",in-window,closed_focal_narrative,true,edition_locator_locked,Alternate scholarly translation sensitivity; do not change tablet/episode boundary.,Absence means absent from the frozen Tablet III flood bundle only.
B_FLOOD_AKK_SB,AKK_MB_SB,flood,primary,Standard Babylonian Epic of Gilgamesh,"Tablet XI flood narrative, Utnapishtim account",https://soas-repository.worktribe.com/output/446254/the-babylonian-gilgamesh-epic-introduction-critical-edition-and-cuneiform-texts,Andrew George 2003 critical edition,in-window,closed_focal_narrative,true,critical_edition_locator_locked,Alternate translation sensitivity using same Tablet XI episode.,Standard Babylonian layer kept separate from Old Babylonian Atrahasis.
B_FLOOD_VED_SB,VED_SB,flood,primary,Shatapatha Brahmana,"1.8.1, Manu and the Fish/flood episode",https://www.wisdomlib.org/hinduism/book/satapatha-brahmana-english/d/doc63144.html,Madhyandina text; Eggeling SBE translation as public anchor,in-window,closed_focal_narrative,true,open_translation_plus_source_text,Translation sensitivity against another scholarly rendering of the same 1.8.1 episode.,Separate later-Vedic case; never back-project to Rigveda.
B_FLOOD_HEB_GEN,HEB_GEN,flood,primary,Genesis,Genesis 6:5-9:17 flood complex,https://www.sbl-site.org/resources/digital-texts/biblica-hebraica-stuttgartensia/,Biblia Hebraica Stuttgartensia / source-critical scholarship,in-window,closed_composite_text_bundle,true,critical_text_locator_locked,Source-critical sensitivity: pre-P/P layer decompositions evaluated as alternate bundles without changing the primary whole-text bundle.,"Primary bundle is the extant flood complex; composition layers are a planned sensitivity, not silently collapsed causal evidence."
B_FLOOD_CHN_YAO,CHN_YAO,flood,primary,Shangshu / Canon of Yao,Yao flood-control appointment passage(s) containing the overwhelming waters and Gun/Yu administrative response,https://ctext.org/shang-shu/canon-of-yao,Received Chinese text + source-critical scholarship,uncertain,closed_selected_passage_chronology_uncertain,true,open_text_translation,Translation sensitivity + source-layer chronology sensitivity; inference remains limited to selected received-text passage.,"This is deliberately a flood-control contrast, not assumed to be an exterminatory deluge."
B_FLOOD_ROM_OVD_CTRL,ROM_OVD,flood,positive_control,"Ovid, Metamorphoses","Book I, Deucalion and Pyrrha flood and repopulation sequence, approximately 253-415",https://scaife.perseus.org/reader/urn:cts:latinLit:phi0959.phi006.perseus-eng3:1.253.351/,Latin primary text / Perseus-Scaife,in-window,closed_literary_control,true,open_classical_text,Translation sensitivity; retain control label in analysis metadata but hide it from coders.,Known literary-network control; not counted as pristine independent Tier-A evidence.
B_ANTH_SUM_OB,SUM_OB,anthropogony,primary,Enki and Ninmah,"ETCSL c.1.1.2, lines 24-37",https://etcsl.orinst.ox.ac.uk/section1/tr112.htm,ETCSL Oxford,in-window,closed_focal_passage,true,open_scholarly_corpus,Wider surrounding Enki-and-Ninmah passage as sensitivity only.,Replaces the defective Pilot Sumerian Flood Story anthropogony witness.
B_ANTH_AKK_OB,AKK_OB,anthropogony,primary,Atrahasis,"Tablet I human-creation sequence, approximately I.195-245",https://books.google.co.uk/books/about/Atra_%E1%B8%ABas%C4%ABs.html?id=RMdcN2h2QbEC,Lambert & Millard; Civil,in-window,closed_focal_narrative,true,edition_locator_locked,Alternate scholarly translation sensitivity of same creation sequence.,Clay/body-material/labour distinctions use v0.2 rules.
B_ANTH_AKK_SB,AKK_MB_SB,anthropogony,primary,Enuma Elish,"Tablet VI human-creation sequence, opening section centered on creation of humanity and divine labour",https://www.cambridge.org/core/books/babylonian-creation-myths/6AB6D6F3D5F9A7F21CFAD80CE17B6DA0,"W. G. Lambert 2013, Babylonian Creation Myths",in-window,closed_focal_narrative,true,critical_edition_locator_locked,Alternate scholarly translation using same Tablet VI sequence.,Kept separate from Atrahasis despite shared Mesopotamian repertoire.
B_ANTH_VED_RV,VED_RV,anthropogony,primary,Rigveda,"RV 10.90.6-16, Purusha hymn creation/social-order sequence",https://academic.oup.com/book/33632,Jamison & Brereton / OUP reference translation,in-window,closed_selected_hymn_passage,true,critical_translation_locator_locked,Compare with a second scholarly translation while holding Sanskrit hymn/verse boundaries fixed.,Body-sacrifice/social-order motifs distinguished from divine-body material mixed into a formed human.
B_ANTH_HEB_GEN,HEB_GEN,anthropogony,primary,Genesis,Genesis 1:26-28 + 2:7 as a predeclared two-passage primeval anthropogony bundle,https://www.sbl-site.org/resources/digital-texts/biblica-hebraica-stuttgartensia/,BHS / source-critical scholarship,in-window,closed_selected_two_passage_bundle,true,critical_text_locator_locked,Mandatory sensitivity splits Genesis 1:26-28 and 2:7 into separate source-critical passage bundles.,Primary bundle is explicitly composite; results must survive or be qualified by source-layer split.
B_DIV_AKK_OB,AKK_OB,divine_conflict,primary,Atrahasis,Tablet I opening lesser-gods labour rebellion / divine deliberation sequence before human creation,https://books.google.co.uk/books/about/Atra_%E1%B8%ABas%C4%ABs.html?id=RMdcN2h2QbEC,Lambert & Millard; Civil,in-window,closed_selected_rebellion_sequence,true,edition_locator_locked,Narrower revolt-only passage sensitivity; keep anthropogony sequence outside this conflict bundle.,"Included for rebellion/council structure, not storm-opponent motifs."
B_DIV_AKK_SB,AKK_MB_SB,divine_conflict,primary,Enuma Elish,"Tablets IV-VI, Marduk-Tiamat conflict, cosmic consequence and sovereignty/human-creation aftermath",https://www.cambridge.org/core/books/babylonian-creation-myths/6AB6D6F3D5F9A7F21CFAD80CE17B6DA0,W. G. Lambert 2013,in-window,closed_selected_multitablet_bundle,true,critical_edition_locator_locked,Sensitivity: Tablet IV conflict core alone vs IV-VI consequence bundle.,Cross-family body-to-cosmos links are recorded but not duplicated as independent derived counts.
B_DIV_HUR_LBA,HUR_LBA,divine_conflict,primary,Hurrian Kumarbi/Ullikummi source tradition,Song of Ullikummi battle/succession material as recoverable through Hittite transmission,https://hethport.net/txhet_myth/intro.php?ed=E.+Rieken+et+al.&lg=DE&prgr=%C2%A7+1&xst=CTH+345.I.3.1,Güterbock/Hoffner; hethiter.net source apparatus,inherited_or_transmitted,partial_transmitted_source_layer,false,scholarly_transmission_text,Do not convert missing/reconstructed material to absence; source-layer sensitivity tied to HIT_LBA dependence cluster.,"Hurrian source layer and Hittite witness are analytically linked, not IID."
B_DIV_HIT_LBA,HIT_LBA,divine_conflict,primary,Illuyanka myth,"CTH 321 Versions A and B, Storm God versus serpent conflict",https://titus.uni-frankfurt.de/texte/etcs/anatol/heth/illuyank/illuy.htm,Hittite text tradition / scholarly editions,in-window,closed_two_version_bundle,true,open_text_plus_scholarly_editions,Mandatory sensitivity: Version A and Version B coded as separate alternate bundles.,Native Hittite conflict bundle; separate from Hurrian Kumarbi/Ullikummi source layer.
B_DIV_UGARIT_LBA,UGARIT_LBA,divine_conflict,primary,Ugaritic Baal Cycle,"KTU 1.2 IV, Baal-Yam conflict and kingship context",https://brill.com/display/title/1061,Mark S. Smith 1994 critical text/translation/commentary,in-window,closed_focal_tablet_column,true,critical_edition_locator_locked,Alternate scholarly translation sensitivity using same KTU locator.,Pilot exposure-contaminated kingship cell does not carry forward; v0.2 is a clean recode.
B_DIV_EGY_NK,EGY_NK,divine_conflict,primary,Contendings of Horus and Seth,"Papyrus Chester Beatty I, full bounded tale",https://chesterbeatty.ie/assets/uploads/2018/11/The-Library-of-A.-Chestera-Beatty-Description-of-a-Hieratic-Papyrus-with-a-Mythological-Story-Love-Songs-and-Other-Miscellaneous-Texts.pdf,Primary papyrus + scholarly edition,in-window,closed_focal_narrative_clean_recode_required,true,primary_pdf_and_edition,Translation/edition sensitivity after clean G5 coding.,Pilot controller codes are excluded; no v0.2 coder may see them.
B_DIV_VED_RV,VED_RV,divine_conflict,primary,Rigveda,"RV 1.32, Indra-Vrtra hymn",https://academic.oup.com/book/33632,Jamison & Brereton / OUP reference translation,in-window,closed_selected_hymn,true,critical_translation_locator_locked,Second scholarly translation sensitivity with Sanskrit verse boundaries fixed.,Storm-serpent and storm-sea remain separate motifs.
B_DIV_GRC_ARCH,GRC_ARCH,divine_conflict,primary,"Hesiod, Theogony","Predeclared conflict/succession bundle: 453-506, 617-735, 820-868",https://catalog.perseus.tufts.edu/catalog/urn:cts:greekLit:tlg0020.tlg001.perseus-grc1,Greek text / Perseus-Loeb tradition,in-window,closed_selected_three_passage_bundle,true,open_classical_text,Sensitivity: succession/Titanomachy and Typhon passages analyzed separately.,Expanded from the Pilot locator so actual effected succession/conflict is not inferred from a prophecy-only passage.
