screen_id,query_family,title,year,decision,reason,url
S001,comparative methods,The Comparative Method in Anthropology,1994,retain,foundational Galton problem,https://www.journals.uchicago.edu/doi/10.1086/204317
S002,comparative methods,A phylogenetic approach to cultural evolution,2005,retain,foundational PCM review,https://pubmed.ncbi.nlm.nih.gov/16701354/
S003,comparative methods,Comparative Methods for Studying Cultural Trait Evolution: A Simulation Study,2006,retain,method sensitivity under horizontal transfer,https://journals.sagepub.com/doi/10.1177/1069397105283401
S004,comparative methods,Does horizontal transmission invalidate cultural phylogenies?,2009,retain,direct reticulation simulation,https://pubmed.ncbi.nlm.nih.gov/19324763/
S005,comparative methods,Is horizontal transmission really a problem for phylogenetic comparative methods?,2010,retain,direct method sensitivity,https://pubmed.ncbi.nlm.nih.gov/21041214/
S006,comparative methods,Simulating trait evolution for cross-cultural comparison,2010,retain,Galton/horizontal transmission simulation,https://pubmed.ncbi.nlm.nih.gov/21041206/
S007,comparative methods,Testing for Divergent Transmission Histories among Cultural Characters,2011,retain,different character classes can transmit differently,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0014810
S008,folktale phylogeny,The Phylogeny of Little Red Riding Hood,2013,retain,direct tale-phylogeny precedent,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0078871
S009,folktale phylogeny,Comparative phylogenetic analyses uncover the ancient roots of Indo-European folktales,2016,retain,vertical vs spatial transmission in tale data,https://pubmed.ncbi.nlm.nih.gov/26909191/
S010,cross-cultural data,"D-PLACE: A Global Database of Cultural, Linguistic and Environmental Diversity",2016,retain,data architecture and phylogeny/environment integration,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0158391
S011,comparative methods,Cross-cultural Comparative Methods for Testing Evolutionary Hypotheses,2023,retain,recent methods guide,https://academic.oup.com/edited-volume/45648/chapter-abstract/406029982
S012,comparative methods,Cross-national analyses require additional controls to account for the non-independence of nations,2023,retain,modern false-positive warning,https://www.nature.com/articles/s41467-023-41486-1
S013,field review,Cultural evolution: A review of theoretical challenges,2024,retain,recent conceptual/methodological review,https://www.cambridge.org/core/journals/evolutionary-human-sciences/article/cultural-evolution-a-review-of-theoretical-challenges/F1DAA0367EBB4F7866F9B624DB2D9BEA
S014,data resource,D-PLACE Data Sources,current,retain_resource,explicit source/provenance and tree caveats,https://d-place.org/source
