case_id,canonical_source_lock,edition_or_authority,url,lock_status,notes
SUM_OB,ETCSL Enki and Ninmah / Sumerian literary corpus,ETCSL Oxford,https://etcsl.orinst.ox.ac.uk/section1/tr112.htm,locked_for_case,Final alternate bundle in G4
AKK_OB,Atra-hasis: The Babylonian Story of the Flood,Lambert & Millard; Civil,https://books.google.co.uk/books/about/Atra_%E1%B8%ABas%C4%ABs.html?id=RMdcN2h2QbEC,locked_for_case,1969 critical edition / 1999 reprint; G4 locks exact passage translation
AKK_MB_SB,"The Babylonian Gilgamesh Epic: Introduction, Critical Edition and Cuneiform Texts",Andrew George 2003,https://soas-repository.worktribe.com/output/446254/the-babylonian-gilgamesh-epic-introduction-critical-edition-and-cuneiform-texts,locked_for_case,Definitive critical edition; exact eBL witness/transliteration may be paired in G4
HUR_LBA,Song of Ullikummi / Kumarbi cycle Hurrian source layer,Güterbock 1951/52; hethiter.net apparatus,https://hethport.net/txhet_myth/intro.php?ed=E.+Rieken+et+al.&lg=DE&prgr=%C2%A7+1&xst=CTH+345.I.3.1,locked_with_dependence,Hurrian original/source tradition reconstructed through Hittite transmission; not IID with HIT_LBA
HIT_LBA,CTH 345 Hittite version of Hurrian Song of Ullikummi,hethiter.net; Hoffner/Güterbock,https://hethport.net/txhet_myth/intro.php?ed=E.+Rieken+et+al.&lg=DE&prgr=%C2%A7+1&xst=CTH+345.I.3.1,locked_with_dependence,Transmission witness; not IID with HUR_LBA
UGARIT_LBA,The Ugaritic Baal Cycle Volume I,Mark S. Smith 1994,https://brill.com/display/title/1061,locked_for_case,Critical text/translation/commentary
EGY_OK,Pyramid Texts,UCL Digital Egypt + critical editions,https://www.ucl.ac.uk/museums-static/digitalegypt/literature/religious/pyramid.html,locked_for_case,G4 must define family-specific bundle; no single creation narrative assumed
EGY_MK,Coffin Texts / Middle Kingdom copies of Pyramid Texts,de Buck; Allen; ISAC,https://isac.uchicago.edu/research/publications/oip/egyptian-coffin-texts-volume-8-middle-kingdom-copies-pyramid-texts,locked_for_case,Source layering retained
EGY_NK,Contendings of Horus and Seth / New Kingdom source layer,Papyrus Chester Beatty I + scholarly editions,https://chesterbeatty.ie/assets/uploads/2018/11/The-Library-of-A.-Chestera-Beatty-Description-of-a-Hieratic-Papyrus-with-a-Mythological-Story-Love-Songs-and-Other-Miscellaneous-Texts.pdf,locked_for_case,Existing controller code excluded; clean G5 recode required
VED_RV,The Rigveda: The Earliest Religious Poetry of India,Jamison & Brereton 2014; OUP reference guide 2020,https://academic.oup.com/book/33632,locked_for_case,Oral chronology uncertainty retained; exact 1.32/10.90 translation bundle frozen in G4
VED_SB,Shatapatha Brahmana 1.8.1 Manu and the Fish,Madhyandina Sanskrit; Eggeling SBE translation,https://www.wisdomlib.org/hinduism/book/satapatha-brahmana-english/d/doc63144.html,locked_for_case,Separate later-Vedic flood case; alternate translation/source-text check in G4
GRC_ARCH,Hesiod Theogony,Perseus Greek / Loeb textual tradition,https://catalog.perseus.tufts.edu/catalog/urn:cts:greekLit:tlg0020.tlg001.perseus-grc1,locked_for_case,Modern alternate translation sensitivity in G4
HEB_GEN,"Genesis, Biblia Hebraica Stuttgartensia",German Bible Society / SBL digital text,https://www.sbl-site.org/resources/digital-texts/biblica-hebraica-stuttgartensia/,locked_for_case,Critical apparatus not reproduced; source-critical composition uncertainty modeled separately
CHN_YAO,Shangshu / Canon of Yao textual layer,Chinese received text + modern source-critical scholarship,https://brill.com/previewpdf/book/edcoll/9789004343504/B9789004343504_003.xml,locked_with_chronology_uncertainty,"Case is source layer, not historical Yao period; translation lock in G4"
CHN_HUAI,The Huainanzi,"Major, Queen, Meyer & Roth 2010",https://cup.columbia.edu/book/the-huainanzi/9780231142045/,locked_for_case,Western Han composition; use complete scholarly translation + Chinese locator in G4
AVE_EARLY,"Videvdad/Vendidad Fargard 2, Yima",Avestan text tradition + Darmesteter/Malandra/Boyce comparison,https://www.avesta.org/vendidad/vd2sbe.htm,locked_high_uncertainty,Primary Tier A with chronology/redaction grade C; sensitivity may demote from model
ROM_OVD,"Ovid Metamorphoses I, Deucalion/Pyrrha",Latin primary text / Perseus-Scaife,https://scaife.perseus.org/reader/urn:cts:latinLit:phi0959.phi006.perseus-eng3:1.253.351/,locked_control,"Known literary-network control, not an independent pristine tradition"
