person_id,name,disagreement_type,adjudicated,first_status,second_status,adjudicated_status,n_first_ids,n_second_ids,n_final_ids,set_relation_to_reviews,adopts_first_exactly,adopts_second_exactly,retrieval_needed,retrieval_spec,ids_not_in_packet,normalization_note
cv_Q24287044,Hilario Hernández Gurruchaga,state,True,VERIFIED_CLUSTER,VERIFIED_SINGLE,VERIFIED_CLUSTER,2,1,2,union_of_both,True,False,False,,,
cv_Q1354374,Erika Greber,state,True,VERIFIED_CLUSTER,VERIFIED_SINGLE,VERIFIED_CLUSTER,3,1,3,union_of_both,True,False,False,,,
cv_Q6213800,Joel Olson,state,True,VERIFIED_CLUSTER,VERIFIED_SINGLE,VERIFIED_CLUSTER,3,1,2,within_union_mixed,False,False,True,Verification of OpenAlex ID A5136923364 to determine if it belongs to the same person.,,
cv_Q7659879,Sydney Copeman,state,True,AMBIGUOUS_COLLISION,VERIFIED_CLUSTER,VERIFIED_CLUSTER,0,3,3,not_applicable,False,True,False,,,
cv_Q72927,Ottomar Rosenbach,id_set_only,True,VERIFIED_CLUSTER,VERIFIED_CLUSTER,VERIFIED_CLUSTER,2,3,3,within_union_mixed,False,False,False,,,
cv_Q20031320,Fred Casey,state,True,EXCLUDED_IDENTITY_ERROR,NO_GRAPH_RECORD,NO_GRAPH_RECORD,0,0,0,not_applicable,False,True,False,,,
cv_Q124897,Anton Moortgat,id_set_only,True,VERIFIED_CLUSTER,VERIFIED_CLUSTER,VERIFIED_CLUSTER,5,6,5,narrower_than_both,True,False,False,,,
cv_Q15994329,Cecil Joslin Brooks,state,True,AMBIGUOUS_COLLISION,VERIFIED_SINGLE,VERIFIED_SINGLE,0,1,1,not_applicable,False,True,False,,,
cv_Q1577507,Hans-Joachim Weimann,state,True,AMBIGUOUS_COLLISION,EXCLUDED_IDENTITY_ERROR,AMBIGUOUS_COLLISION,0,0,0,not_applicable,True,False,True,"Additional works or external identifier (e.g., ORCID, institutional affiliation) to clarify whether A5064752221 belongs to the historian.",,
cv_Q6947701,Itzhak Ilan,state,True,AMBIGUOUS_COLLISION,EXCLUDED_IDENTITY_ERROR,EXCLUDED_IDENTITY_ERROR,0,0,0,not_applicable,False,True,False,,,
cv_Q23059458,Minoo Lenarz,state,True,VERIFIED_SINGLE,VERIFIED_CLUSTER,VERIFIED_CLUSTER,1,2,2,union_of_both,False,True,False,,,
cv_Q19850025,Oskar Simony,id_set_only,True,VERIFIED_CLUSTER,VERIFIED_CLUSTER,VERIFIED_CLUSTER,2,3,3,union_of_both,False,True,False,,,
cv_Q3385700,Pierre L. G. Benoit,id_set_only,True,VERIFIED_CLUSTER,VERIFIED_CLUSTER,VERIFIED_CLUSTER,2,3,3,union_of_both,False,True,False,,,
cv_Q2641681,Alexander Aigner,state,True,VERIFIED_CLUSTER,AMBIGUOUS_COLLISION,AMBIGUOUS_COLLISION,7,0,0,not_applicable,False,True,False,,,
cv_Q7416679,Sandra Leiblum,state,True,VERIFIED_CLUSTER,VERIFIED_SINGLE,VERIFIED_SINGLE,2,1,1,narrower_than_both,False,True,True,"Need institutional affiliation, coauthor confirmation, or external identifier (e.g., ORCID) linking Sandra Leiblum to the 1967 memory paper or 2002 sexual dysfunction paper.",,
cv_Q104271,Michael Theunissen,state,True,VERIFIED_CLUSTER,VERIFIED_SINGLE,VERIFIED_CLUSTER,2,1,2,union_of_both,True,False,False,,,
cv_Q47216729,Alfonso W. Quiroz,state,True,VERIFIED_CLUSTER,VERIFIED_SINGLE,VERIFIED_CLUSTER,3,1,2,within_union_mixed,False,False,False,,,
cv_Q1912572,Max Gerlach,state,True,AMBIGUOUS_COLLISION,NO_GRAPH_RECORD,AMBIGUOUS_COLLISION,0,0,0,not_applicable,True,False,False,,,
cv_Q16945536,Algot Werin,id_set_only,True,VERIFIED_CLUSTER,VERIFIED_CLUSTER,VERIFIED_CLUSTER,2,3,3,union_of_both,False,True,False,,,
cv_Q594723,Anton Tautscher,id_set_only,True,VERIFIED_CLUSTER,VERIFIED_CLUSTER,VERIFIED_CLUSTER,3,2,2,narrower_than_both,False,True,False,,,
cv_Q5294283,Donald E. Graves,state,True,EXCLUDED_IDENTITY_ERROR,NO_GRAPH_RECORD,EXCLUDED_IDENTITY_ERROR,0,0,0,not_applicable,True,False,False,,,
cv_Q1393663,Peter Rice,state,True,AMBIGUOUS_COLLISION,NO_GRAPH_RECORD,NO_GRAPH_RECORD,0,0,0,not_applicable,False,True,False,,,
cv_Q15440160,Hans Arnsperger,id_set_only,True,VERIFIED_CLUSTER,VERIFIED_CLUSTER,VERIFIED_CLUSTER,2,3,3,union_of_both,False,True,False,,,
