person_id,canonical_name,first_status,second_status,adjudicated_status,adjudicated_ids,ids_only_in_first,ids_only_in_second,evidence_for_first,evidence_for_second,deciding_evidence,retrieval_needed,retrieval_spec,normalization_note,invented_ids_dropped,adjudicator,adjudicated_at
cv_Q24287044,Hilario Hernández Gurruchaga,VERIFIED_CLUSTER,VERIFIED_SINGLE,VERIFIED_CLUSTER,A5031000107;A5077518778,A5031000107,,SciELO/Universidad del Bio-Bio confirms 'El mañana es la Edad de la Madera' and identifies him as former UBB rector; work year 2010 matches lifespan; urban works match field.,Wikidata shows urban scholar; A5077518778 lists urban‑studies works (1982‑2019) matching field; A5031000107 is plant sciences with no clear link to his known profile.,"The SciELO/Universidad del Bio-Bio authority record directly linking the plant‑sciences work to the person provides a strong external identifier, outweighing topic mismatch; both IDs belong to same historical person.",false,,,,"AI:nemotron-3-super-120b (isolated adjudication surface, temperature 0)",2026-09-19
cv_Q1354374,Erika Greber,VERIFIED_CLUSTER,VERIFIED_SINGLE,VERIFIED_CLUSTER,A5067191806;A5093308260;A5127108224,A5093308260;A5127108224,,"LMU obituary documents her comparative‑literature, Russian/Pasternak, intermediality and sonnet research; Wallstein/LMU bibliography confirms Intermedium Literatur (2004); fragments match Pasternak/sonnet topics.","VIAF 266971883, ISNI 0000000109009595; A5067191806 has 39 works on German literature (1994‑2011) matching professor career; other IDs are single‑work fragments with no conflict.","Fragments A5093308260 (1994 sonnet work) and A5127108224 (1990 Pasternak analysis) align with her documented research on German literature and Pasternak, confirming same person.",false,,,,"AI:nemotron-3-super-120b (isolated adjudication surface, temperature 0)",2026-09-19
cv_Q6213800,Joel Olson,VERIFIED_CLUSTER,VERIFIED_SINGLE,VERIFIED_CLUSTER,A5014404041;A5014962549,A5014962549;A5136923364,,NAU obituary and University of Minnesota Press identify Joel Olson; SAGE and Cambridge confirm works like 'The Abolition of White Democracy'; A5014962549 contains chapters from that book.,"VIAF 4321475, ORCID 0000-0002-3423-8514; A5014404041 publishes race and political theory works (2005‑2016) aligning with activist; other IDs are nanoscience or space researchers, incompatible.","A5014962549’s works are clearly race‑theory chapters matching his known publications; the missing A5136923364 cannot be verified from the packet, so we retain the two verifiable IDs and flag need for retrieval.",true,Verification of OpenAlex ID A5136923364 to determine if it belongs to the same person.,,,"AI:nemotron-3-super-120b (isolated adjudication surface, temperature 0)",2026-09-19
cv_Q7659879,Sydney Copeman,AMBIGUOUS_COLLISION,VERIFIED_CLUSTER,VERIFIED_CLUSTER,A5098192254;A5099768349;A5104522501,,A5098192254;A5099768349;A5104522501,"First reviewer saw only name matches and no explicit fragment-linking signal (e.g., overlapping works or coauthors) beyond temporal overlap, raising possibility of distinct individuals with same name.","Second reviewer noted matching name variants, identical 1862‑1947 lifespan, and works on variola/vaccinia (1894‑1908) plus related medical topics, indicating fragmented record of same person.","The three IDs share exact name variants, overlapping dates (1894‑1908), and biomedical field with no ORCID conflict; together they satisfy fragment-linking signal beyond name, supporting a single person cluster.",false,,,,"AI:nemotron-3-super-120b (isolated adjudication surface, temperature 0)",2026-09-19
cv_Q72927,Ottomar Rosenbach,VERIFIED_CLUSTER,VERIFIED_CLUSTER,VERIFIED_CLUSTER,A5070702468;A5071187168;A5076990306,A5071187168,A5070702468;A5099157538,"First reviewer identified the core medical output (1878 habilitation on heart valves, 1879 digestive, 1890 diabetes) matching Wikidata’s 1851‑1907 lifespan and physician occupation.","Second reviewer added A5070702468 (1887 Endocarditis papers) and A5099157538 (1884 Charité-Annalen) to the core ID, citing matching medical works and dates.","We retain A5070702468 and A5071187168 alongside A5076990306, but exclude A5099157538 because its 2009 works postdate death, indicating likely misattribution rather than same person.",false,,,,"AI:nemotron-3-super-120b (isolated adjudication surface, temperature 0)",2026-09-19
cv_Q20031320,Fred Casey,EXCLUDED_IDENTITY_ERROR,NO_GRAPH_RECORD,NO_GRAPH_RECORD,,,,"First reviewer noted candidate A5043650200 (1979 work, 1940 alien registration) but judged it mismatched to the British socialist educationalist’s occupation and known publications, treating it as an erroneous match.","Second reviewer found no OpenAlex works aligning with Fred Casey’s 1876‑1956 dates, educationalist role, or titles like Beginning with the Beginner; all candidates are modern scholars or unrelated US registrants.","We adopt NO_GRAPH_RECORD because no OpenAlex record verifiably matches the historical person’s lifespan, occupation, and works; apparent matches are either misattributed or pertain to different individuals.",false,,,,"AI:nemotron-3-super-120b (isolated adjudication surface, temperature 0)",2026-09-19
cv_Q124897,Anton Moortgat,VERIFIED_CLUSTER,VERIFIED_CLUSTER,VERIFIED_CLUSTER,A5004074646;A5013225685;A5018704554;A5104397241;A5104414231,,A5002464423,"First review excluded A5002464423 due to 2003 work post‑dating Moortgat’s death, indicating a namesake fragment.","Second review included A5002464423 citing 1975 Tell Chuera work and shared name, era, topics, co‑author Ursula Moortgat‑Correns.","The 2003 work post‑dates Moortgat’s 1977 death, a strong conflict signal (incompatible career period) that outweighs the matching 1975 fragment; per codebook, such conflict blocks inclusion.",false,,,,"AI:nemotron-3-super-120b (isolated adjudication surface, temperature 0)",2026-09-19
cv_Q15994329,Cecil Joslin Brooks,AMBIGUOUS_COLLISION,VERIFIED_SINGLE,VERIFIED_SINGLE,A5081875897,,A5081875897,"First review marked AMBIGUOUS_COLLISION, citing insufficient bibliographic/institutional anchor for the single C J Brooks record.","Second review found the 1911 botanical/geographic work matches the 1875‑1953 lifespan and name variant C J Brooks, with no other candidates.","Name variant (C J Brooks) plus a plausible 1911 work within lifespan give two independent bibliographic signals beyond name, satisfying Route S2; no conflict evident.",false,,,,"AI:nemotron-3-super-120b (isolated adjudication surface, temperature 0)",2026-09-19
cv_Q1577507,Hans-Joachim Weimann,AMBIGUOUS_COLLISION,EXCLUDED_IDENTITY_ERROR,AMBIGUOUS_COLLISION,,,,First review flagged AMBIGUOUS_COLLISION due to lack of strong bibliographic/institutional link between the 2000 law/IT work and the historian’s forestry/history profile.,"Second review judged EXCLUDED_IDENTITY_ERROR, asserting the 2000 Digitalization, Law, Regulation paper mismatches the historian’s known forestry/history specialization.","Name and date fit, but topic mismatch creates ambiguity; without additional works or external identifier we cannot confirm exclusion, so we retain the narrower AMBIGUOUS_COLLISION.",true,"Additional works or external identifier (e.g., ORCID, institutional affiliation) to clarify whether A5064752221 belongs to the historian.",,,"AI:nemotron-3-super-120b (isolated adjudication surface, temperature 0)",2026-09-19
cv_Q6947701,Itzhak Ilan,AMBIGUOUS_COLLISION,EXCLUDED_IDENTITY_ERROR,EXCLUDED_IDENTITY_ERROR,,,,First review flagged possible name collision due to similarity between Itzhak Ilan and Ilan Ben-Itzhak.,"Second review found Wikidata shows Israeli security official; OpenAlex author is orthopedic researcher with no overlap in occupation, field, or works.",Clear mismatch in occupation (military/spy vs orthopedics) and field shows the OpenAlex record does not belong to the person.,false,,,,"AI:nemotron-3-super-120b (isolated adjudication surface, temperature 0)",2026-09-19
