study,year,identifier,scale_or_focus,publication_denominator,event_to_work_identity,timing_censoring,native_multilabel_reason,mass_event_sensitivity,cross_database_concordance,post_retraction_citations,ARIS4C020_overlap_note
"Venturini, Urbinati & Gallo — The Retraction Epidemic in Science Across Publishers, Fields, and Countries",2026,"arXiv:2604.02302",">107M OpenAlex works; fields/countries/publishers","YES","UNCLEAR","CUTOFF","NO","PARTIAL","NO","NO","Closest global incidence competitor; already covers exposure-adjusted rates, fractional country weighting, lag, and concentration."
"Oppenlaender — How Ten Publishers Retract Research",2026,"arXiv:2602.19197","46,087 RWDB retractions; 10 publishers","YES","UNCLEAR","DESCRIPTIVE","PARTIAL","PARTIAL","NO","NO","Publisher rates/reasons/time/geography are prior art; leave-cluster-out and full event-spine remain distinct."
"Mañana-Rodríguez et al. — Access models and retractions with peer review issues",2026,"10.1007/s11192-026-05668-0","31,910 RWDB×OpenAlex retracted publications","YES","UNCLEAR","UNCLEAR","PARTIAL","NO","NO","NO","Strong precedent for denominator-aware RWDB×OpenAlex rates."
"García-Romero et al. — Enduring influence of retracted research",2026,"10.1007/s11192-026-05699-7","531 works; 3 disciplines","NO","UNCLEAR","DESCRIPTIVE","NO","NO","NO","YES","Strong restricted-field citation-afterlife precedent."
"Cheng, Yang & Allen — Tracking the retracted paper mill articles",2026,"10.1007/s11192-026-05751-6","10,409 paper-mill retractions","NO","UNCLEAR","DESCRIPTIVE","PARTIAL","PARTIAL","NO","NO","Paper-mill ecology and 2023 concentration are prior art; formal leave-cluster-out sensitivity remains a target."
"Lendvai & Sasvári — Wasted research and lost citations",2026,"10.1177/01655515251362383","35,514 Scopus retracted publications","NO","UNCLEAR","DESCRIPTIVE","PARTIAL","NO","NO","YES","Large-scale citation dynamics precedent but Scopus-defined population."
"Fletcher & Stevenson — Predicting retracted research",2025,"10.1186/s41073-025-00168-w","RWDB×OpenAlex case-control prediction dataset","PARTIAL","UNCLEAR","NONE","NO","NO","NO","NO","Important matched-control/data-engineering precedent; target is prediction rather than retraction ecology."
"Hauschke & Nazarovets — (Non-)retracted academic papers in OpenAlex",2025,"10.1177/01655515251322478","47,720 OpenAlex records marked retracted","NO","NO","NONE","NO","NO","YES","NO","Direct prior art for retraction-status metadata discordance; makes concordance auditing mandatory."
"Koo & Lin — Retracted articles in scientific literature",2024,"10.1016/j.heliyon.2024.e38620","8,466 WoS retracted articles","NO","UNCLEAR","DESCRIPTIVE","PARTIAL","NO","NO","PARTIAL","Broad bibliometric comparator; database scope narrower than full RWDB."
"Xu & Hu — Non-author entities accountable for retractions",2022,"10.1002/leap.1445","cross-disciplinary retraction-notice reasons","NO","UNCLEAR","NONE","PARTIAL","NO","NO","NO","Cross-disciplinary reason/accountability analysis; supports separating actors/process from substantive failure."
