record_id,title,opposition_valid,oci_candidate,rel_same_construct_reversal,rel_target_reversal,rel_functional_reversal,rel_relational_reversal,rel_proxy_reversal,idx_actor_switch,idx_level_switch,idx_time_switch,idx_construct_switch,idx_environment_switch,mech_strategic_adaptive_feedback,mech_capacity_overload,mech_nonlinear_ecological_dynamics,mech_information_filtering,mech_norm_motivational_reactance,mech_exposure_induced_adaptation,mech_intervention_toxicity,mech_coordination_externality,ev_randomized_experiment,ev_quasi_experiment,ev_longitudinal_observational,ev_cross_sectional_observational,ev_formal_model,ev_simulation,ev_qualitative_process,ev_systematic_review,ev_meta_analysis,ev_conceptual_theory,evidence_strength,result_direction,normative_valence,coder_note
V201,Staying in the loop: Is constant connectivity to work good or bad for work performance?,yes,yes,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,strong,supports_reversal,mixed,
V202,"LAWS, BUREAUCRATIC AUTONOMY, AND THE COMPARATIVE STUDY OF DELEGATION",no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,not_tested,not_normatively_classified,
V203,Algorithmic Agency and Autonomy in Archaeological Practice,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,none,not_tested,not_normatively_classified,
V204,An Analysis on the Impact of Choice Overload to Consumer Decision Paralysis,yes,yes,uncertain,1,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,moderate,supports_reversal,harmful,"Choice overload leads to decision paralysis, indicating a functional reversal where more options reduce decision quality."
V205,FORMING LEARNER’S AUTONOMY BY MEANS OF TEACHER’S ROLES DELEGATION,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,weak,not_tested,beneficial,Describes teacher role delegation to foster learner autonomy; no reversal claimed.
V206,Global Research Priorities to Better Understand the Burden of Iatrogenic Harm in Primary Care: An International Delphi Exercise,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,weak,not_tested,not_normatively_classified,Delphi exercise to set research priorities for iatrogenic harm; no causal reversal tested.
V207,"The unintended consequences of COVID-19 vaccine policy: why mandates, passports and restrictions may cause more harm than good",yes,yes,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,uncertain,uncertain,uncertain,0,0,0,0,0,0,0,0,0,1,weak,supports_reversal,harmful,Paper outlines hypotheses; no empirical data provided.
V208,Peer Goup Dynamics Associated with Iatrogenic Effect in Group Interventions with High-Risk Young Adolescents,yes,yes,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,none,supports_reversal,harmful,Very brief statement with no evidentiary detail.
V209,Naloxone—does over‐antagonism matter? Evidence of iatrogenic harm after emergency treatment of heroin/opioid overdose,yes,yes,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,uncertain,0,0,0,0,0,0,1,0,0,0,moderate,supports_reversal,harmful,Qualitative data describing harms from over-antagonism.
V210,From iatrogenic harm to iatrogenic violence: corruption and the end of medicine,yes,yes,uncertain,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,uncertain,uncertain,uncertain,weak,supports_reversal,harmful,"Paper argues institutionalization of medicine leads to iatrogenic harm/spiral, a functional reversal of medicine's intended healing function."
V211,"Deterrence, Democracy, and the Pursuit of International Justice",no,no,0,0,0,0,0,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,moderate,not_tested,mixed,Discusses shift from moral duty to instrumental peacebuilding rationales for international justice; no causal reversal claim.
V212,Deterrence Revisited?,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,Evidence text contains only metadata; no substantive content to assess any construct.
