motif_id,family,label,inclusion_rule,exclusion_rule,version,status
FLOOD_DSTR_INUNDATION,flood,Destructive inundation,Water inundation is itself a major destructive event affecting settlements/people/land.,Do not require near-total human destruction; do not code routine seasonal flooding.,0.1.1,analysis_rule_frozen
FLOOD_EXTERMINATORY,flood,Exterminatory deluge,The inundation is intended or described as destroying most/all humanity or the inhabited world.,Do not code flood-control or local destructive flooding without broad human-destruction claim.,0.1.1,analysis_rule_frozen
FLOOD_WARNING,flood,Advance supernatural warning,A supernatural/divine/extraordinary agent gives advance information enabling preparation for the flood.,Ordinary observation or post-event revelation does not count.,0.1.1,analysis_rule_frozen
FLOOD_SELECTED_SURVIVOR,flood,Selected survivor group,One person/family/small selected group is specifically preserved while a much larger population is destroyed/threatened.,A flood-control official or generic survivors without selection do not count.,0.1.1,analysis_rule_frozen
FLOOD_VESSEL,flood,Floating vessel refuge,Survival depends on a deliberately used boat/ark/chest/raft or comparable floating container.,Travel by ordinary boat unrelated to flood survival does not count.,0.1.1,analysis_rule_frozen
FLOOD_HIGH_REFUGE,flood,Elevated refuge,Survival depends on mountain/tree/tower/other elevated refuge above floodwaters.,A vessel merely landing on a mountain afterward does not count.,0.1.1,analysis_rule_frozen
FLOOD_POST_RITUAL,flood,Post-flood ritual or sacrifice,Survivor performs sacrifice/offering/ritual soon after survival or recession of waters.,Later unrelated cult practice does not count.,0.1.1,analysis_rule_frozen
FLOOD_REPOPULATION,flood,Post-flood human renewal,Narrative explicitly addresses restoration/repopulation/recreation of humanity after flood.,Survival alone does not count.,0.1.1,analysis_rule_frozen
DIV_SUCCESSION_YOUNGER_OLDER,divine_conflict,Younger divine generation displaces older,"A younger divine generation or younger deity actually defeats, displaces, or is acclaimed/decreed as having displaced an older ruling divine generation.","A merely foretold, feared or potential future displacement does not count; direction is fixed to younger displacing older.",0.1.1,analysis_rule_frozen
DIV_FATHER_SON,divine_conflict,Father-son succession conflict,Divine kingship/supremacy conflict is explicitly structured between a father and his son as the principal opposing parties.,A paternal plot frame or other kinship relation does not count unless the actual opposing parties are father and son.,0.1.1,analysis_rule_frozen
DIV_STORM_SERPENT,divine_conflict,Storm deity versus serpent/dragon,A storm/thunder-associated deity battles a serpent/dragon/serpentine adversary.,Sea deity without serpent/dragon identity is separate.,0.1.1,analysis_rule_frozen
DIV_STORM_SEA,divine_conflict,Storm deity versus sea/water deity,A storm/thunder-associated deity battles a personified sea/water deity or sovereign aquatic opponent.,Serpent/dragon opponent is separate unless text explicitly identifies both.,0.1.1,analysis_rule_frozen
DIV_BODY_TO_COSMOS,divine_conflict,Defeated being becomes cosmos,Material from a defeated primordial/divine opponent becomes components of world/cosmos.,Death of enemy alone does not count.,0.1.1,analysis_rule_frozen
DIV_COUNCIL,divine_conflict,Divine council deliberation,"A plurality of gods explicitly acts as a collective deliberative/judicial body to decide, judge, assign roles or allocate authority.",A mere list/group of gods or private counsel among a small set of related deities does not count.,0.1.1,analysis_rule_frozen
DIV_KINGSHIP_TRANSFER,divine_conflict,Transfer of divine kingship,Legitimate divine kingship/sovereignty is narrated or acclaimed as actually transferred between deities or generations.,"Victory without sovereignty transfer, or a transfer only foretold/feared but not effected in the locator, does not count.",0.1.1,analysis_rule_frozen
DIV_PRIMORDIAL_REBELLION,divine_conflict,Primordial divine rebellion,"Inside the frozen locator, subordinate/younger divine beings explicitly act in insubordination or rebellion against established divine authority.","Retrospective references, external episodes, monster attacks, or sovereign combat lacking an insubordination frame do not count.",0.1.1,analysis_rule_frozen
ANTH_EARTH_DUST,anthropogony,Human formed from earth/dust,"Human body is made from generic loose earth, soil, dust or ground material, with no explicit plastic/wet quality.","Explicit clay, mud, wet/plastic earth, or an explicitly plastic operation such as kneading is coded under ANTH_CLAY_MUD instead; sibling motifs are mutually exclusive.",0.1.1,analysis_rule_frozen
ANTH_CLAY_MUD,anthropogony,Human formed from clay/mud,"Human body is made from clay, mud, wet/plastic earth, or earth explicitly manipulated as plastic material (for example kneaded).",Generic loose earth/dust without wet/plastic quality does not count; sibling ANTH_EARTH_DUST is mutually exclusive.,0.1.1,analysis_rule_frozen
ANTH_POTTER_FORMING,anthropogony,Potter-like forming,"Human creation explicitly uses a craft-forming operation such as kneading, molding, shaping by hand, or a potter wheel.","A generic verb meaning create/form alone, or the mere presence/mixing of clay, is insufficient without an explicit craft-forming operation.",0.1.1,analysis_rule_frozen
ANTH_DIVINE_BLOOD_FLESH,anthropogony,Divine/supernatural body material,"The material of human formation explicitly incorporates blood, flesh, body matter or remains of a deity/supernatural being.","If human groups or social categories arise from division of a primordial being, code ANTH_BODY_SACRIFICE instead; the sibling motifs do not co-fire on one passage.",0.1.1,analysis_rule_frozen
ANTH_BREATH_ANIMATION,anthropogony,Breath/wind animates human,"Breath, wind, spirit-breath or an equivalent animating principle is explicitly infused into an already formed human body.",Speech-only creation and a divine spirit/body component merely mixed into creation material are insufficient.,0.1.1,analysis_rule_frozen
ANTH_CREATED_FOR_SERVICE,anthropogony,Humans created for divine service/labour,"Text explicitly states humans are created to perform labour, cult, maintenance, or service for gods.",Later social duty or worship not given as creation purpose does not count.,0.1.1,analysis_rule_frozen
ANTH_BODY_SACRIFICE,anthropogony,Humans/social order from primordial body sacrifice,Human groups or human social categories arise explicitly from the division/sacrifice of a primordial being.,"Divine body material merely incorporated into human formation is ANTH_DIVINE_BLOOD_FLESH, not this motif; the sibling motifs do not co-fire.",0.1.1,analysis_rule_frozen
ANTH_FIRST_PAIR,anthropogony,Explicit first human pair,Humanity descends from or begins with an explicitly first male-female/couple pair.,A survivor couple after a flood is separate unless narrative makes them first humans.,0.1.1,analysis_rule_frozen
