record_id,title,opposition_valid,oci_candidate,rel_same_construct_reversal,rel_target_reversal,rel_functional_reversal,rel_relational_reversal,rel_proxy_reversal,idx_actor_switch,idx_level_switch,idx_time_switch,idx_construct_switch,idx_environment_switch,mech_strategic_adaptive_feedback,mech_capacity_overload,mech_nonlinear_ecological_dynamics,mech_information_filtering,mech_norm_motivational_reactance,mech_exposure_induced_adaptation,mech_intervention_toxicity,mech_coordination_externality,ev_randomized_experiment,ev_quasi_experiment,ev_longitudinal_observational,ev_cross_sectional_observational,ev_formal_model,ev_simulation,ev_qualitative_process,ev_systematic_review,ev_meta_analysis,ev_conceptual_theory,evidence_strength,result_direction,normative_valence,coder_note
V201,Staying in the loop: Is constant connectivity to work good or bad for work performance?,yes,yes,1,0,1,0,0,0,0,0,0,0,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,0,0,1,0,0,0,0,0,0,0,moderate,supports_reversal,mixed,"Study reports opposite effects of availability (positive) and interruptions (negative) on performance, indicating a functional reversal within the same construct."
V202,"LAWS, BUREAUCRATIC AUTONOMY, AND THE COMPARATIVE STUDY OF DELEGATION",no,no,0,0,0,0,0,0,0,0,0,0,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,0,0,0,0,0,0,0,0,0,1,none,not_tested,beneficial,The chapter presents a normative argument about elections aligning incentives; no reversal claim is evident.
V203,Algorithmic Agency and Autonomy in Archaeological Practice,yes,yes,1,0,1,0,0,0,0,0,0,0,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,0,0,0,0,0,0,0,0,0,1,weak,supports_reversal,mixed,"The paper argues that the assumed benefits of algorithmic automation are being challenged, indicating a reversal of expectations within the same construct of algorithmic agency."
V204,An Analysis on the Impact of Choice Overload to Consumer Decision Paralysis,yes,yes,0,0,1,0,0,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,0,0,0,1,0,0,0,0,0,0,uncertain,supports_reversal,harmful,"Abstract reports that more options (choice overload) increase decision difficulty and lead to paralysis, a functional reversal of rational choice expectations."
V205,FORMING LEARNER’S AUTONOMY BY MEANS OF TEACHER’S ROLES DELEGATION,yes,yes,0,0,1,0,0,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,0,0,0,0,0,0,1,0,0,1,uncertain,supports_reversal,beneficial,"Paper argues that delegating teacher roles to students (actor switch) enhances learner autonomy, a functional reversal of traditional teacher‑centered expectations."
V206,Global Research Priorities to Better Understand the Burden of Iatrogenic Harm in Primary Care: An International Delphi Exercise,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,uncertain,not_tested,not_normatively_classified,Delphi exercise identifies research priorities; no reversal claim is presented.
V207,"The unintended consequences of COVID-19 vaccine policy: why mandates, passports and restrictions may cause more harm than good",yes,yes,1,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,0,0,0,0,0,0,0,0,0,1,uncertain,supports_reversal,harmful,Abstract proposes that vaccine mandates intended to improve health may cause societal harm – a functional reversal. No specific empirical mechanism or study design reported.
V208,Peer Goup Dynamics Associated with Iatrogenic Effect in Group Interventions with High-Risk Young Adolescents,yes,yes,uncertain,1,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,0,0,0,0,0,0,0,0,0,1,uncertain,supports_reversal,harmful,Claims that friendship can have iatrogenic (harmful) effects in group treatment – a reversal of expected positive impact. No empirical data presented.
V209,Naloxone—does over‐antagonism matter? Evidence of iatrogenic harm after emergency treatment of heroin/opioid overdose,yes,yes,1,1,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,uncertain,0,0,0,0,0,0,1,0,0,0,moderate,supports_reversal,harmful,Qualitative interviews reveal that excessive naloxone dosing (intended rescue) causes withdrawal and other harms – an intervention toxicity reversal.
V210,From iatrogenic harm to iatrogenic violence: corruption and the end of medicine,yes,yes,1,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,1,uncertain,uncertain,uncertain,weak,supports_reversal,harmful,Abstract describes institutionalization of good leading to corrupt/harmful outcomes (functional reversal) and mentions capacity overload.
